Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","AwsText2Sql-AgentStack/DynamicAgent/Role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/DynamicAgent/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/DynamicAgent/Role/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/DynamicAgent/Role/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/DynamicAgent/Role/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AwsText2Sql-AgentStack/AthenaSchemaReaderRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaSchemaReaderRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaSchemaReaderRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaSchemaReaderRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","AwsText2Sql-AgentStack/AthenaSchemaReaderLambda/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-SQS2","AwsText2Sql-AgentStack/AthenaQueryLambdaDLQ/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","AwsText2Sql-AgentStack/AthenaQueryLambdaDLQ/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","AwsText2Sql-AgentStack/AthenaQueryLambdaDLQ/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-IAM4","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsText2Sql-AgentStack/AthenaQueryLambdaRole/DefaultPolicy/Resource","Suppressed","Required wildcards are scoped to specific resources and service integrations","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","AwsText2Sql-AgentStack/AthenaQueryLambda/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
