pattern_id,transaction_id,pattern_type,pattern_description,severity_level,date_detected,is_resolved,resolved_date,resolved_by,comments
11,177,Velocity Check,Suspicious pattern detected for Velocity Check,High,2024-11-25,false,,,Generated suspicious pattern for transaction 177
12,194,Cross-border,Suspicious pattern detected for Cross-border,Low,2024-12-15,false,,,Generated suspicious pattern for transaction 194
13,91,Geographic Anomaly,Suspicious pattern detected for Geographic Anomaly,High,2024-12-23,false,,,Generated suspicious pattern for transaction 91
14,170,Cross-border,Suspicious pattern detected for Cross-border,High,2024-11-14,true,2024-10-19,Fraud Team,Generated suspicious pattern for transaction 170
15,225,Authentication,Suspicious pattern detected for Authentication,Low,2024-11-13,false,,,Generated suspicious pattern for transaction 225
16,41,Authentication,Suspicious pattern detected for Authentication,High,2024-11-19,false,,,Generated suspicious pattern for transaction 41
17,214,Off-hours Activity,Suspicious pattern detected for Off-hours Activity,High,2024-11-28,true,2024-10-06,Fraud Team,Generated suspicious pattern for transaction 214
18,249,Cross-border,Suspicious pattern detected for Cross-border,Low,2024-11-18,true,2024-11-23,Fraud Team,Generated suspicious pattern for transaction 249
19,48,Off-hours Activity,Suspicious pattern detected for Off-hours Activity,High,2024-10-01,true,2024-10-06,Fraud Team,Generated suspicious pattern for transaction 48
20,28,Card Present,Suspicious pattern detected for Card Present,High,2024-11-25,true,2024-10-02,Fraud Team,Generated suspicious pattern for transaction 28
21,37,Large Transaction,Suspicious pattern detected for Large Transaction,High,2024-10-17,false,,,Generated suspicious pattern for transaction 37
22,240,Amount Pattern,Suspicious pattern detected for Amount Pattern,Low,2024-11-17,true,2024-11-22,Fraud Team,Generated suspicious pattern for transaction 240
23,250,Amount Pattern,Suspicious pattern detected for Amount Pattern,Low,2024-11-04,true,2024-11-09,Fraud Team,Generated suspicious pattern for transaction 250
24,62,Authentication,Suspicious pattern detected for Authentication,Medium,2024-11-04,false,,,Generated suspicious pattern for transaction 62
25,18,Amount Pattern,Suspicious pattern detected for Amount Pattern,Low,2024-10-25,true,2024-10-02,Fraud Team,Generated suspicious pattern for transaction 18
26,127,Large Transaction,Suspicious pattern detected for Large Transaction,Low,2024-11-19,false,,,Generated suspicious pattern for transaction 127
27,225,New Device,Suspicious pattern detected for New Device,Low,2024-12-11,false,,,Generated suspicious pattern for transaction 225
28,36,Large Transaction,Suspicious pattern detected for Large Transaction,Low,2024-11-23,false,,,Generated suspicious pattern for transaction 36
29,172,Cross-border,Suspicious pattern detected for Cross-border,Low,2024-11-15,true,2024-11-20,Fraud Team,Generated suspicious pattern for transaction 172
30,102,Rapid Succession,Suspicious pattern detected for Rapid Succession,High,2024-10-07,true,2024-10-12,Fraud Team,Generated suspicious pattern for transaction 102
31,99,Velocity Check,Suspicious pattern detected for Velocity Check,Low,2024-11-01,false,,,Generated suspicious pattern for transaction 99
32,37,Card Present,Suspicious pattern detected for Card Present,Low,2024-11-27,false,,,Generated suspicious pattern for transaction 37
33,202,Large Transaction,Suspicious pattern detected for Large Transaction,High,2024-12-10,true,2024-12-15,Fraud Team,Generated suspicious pattern for transaction 202
34,207,Cross-border,Suspicious pattern detected for Cross-border,Low,2024-12-07,true,2024-12-12,Fraud Team,Generated suspicious pattern for transaction 207
35,27,Cross-border,Suspicious pattern detected for Cross-border,Low,2024-10-20,true,2024-10-25,Fraud Team,Generated suspicious pattern for transaction 27
36,179,Rapid Succession,Suspicious pattern detected for Rapid Succession,Low,2024-10-03,false,,,Generated suspicious pattern for transaction 179
37,158,Large Transaction,Suspicious pattern detected for Large Transaction,Low,2024-12-20,true,2024-12-26,Fraud Team,Generated suspicious pattern for transaction 158
38,28,Authentication,Suspicious pattern detected for Authentication,High,2024-10-24,false,,,Generated suspicious pattern for transaction 28
39,120,Authentication,Suspicious pattern detected for Authentication,Low,2024-10-19,false,,,Generated suspicious pattern for transaction 120
40,23,Geographic Anomaly,Suspicious pattern detected for Geographic Anomaly,Low,2024-10-21,false,,,Generated suspicious pattern for transaction 23
41,60,Large Transaction,Suspicious pattern detected for Large Transaction,Low,2024-11-12,false,,,Generated suspicious pattern for transaction 60
42,69,Large Transaction,Suspicious pattern detected for Large Transaction,High,2024-11-03,false,,,Generated suspicious pattern for transaction 69
43,234,Geographic Anomaly,Suspicious pattern detected for Geographic Anomaly,Medium,2024-12-02,false,,,Generated suspicious pattern for transaction 234
44,68,Authentication,Suspicious pattern detected for Authentication,Medium,2024-11-27,false,,,Generated suspicious pattern for transaction 68
45,57,New Device,Suspicious pattern detected for New Device,Low,2024-12-25,false,,,Generated suspicious pattern for transaction 57
46,178,Off-hours Activity,Suspicious pattern detected for Off-hours Activity,Low,2024-11-23,true,2024-11-28,Fraud Team,Generated suspicious pattern for transaction 178
47,245,Large Transaction,Suspicious pattern detected for Large Transaction,Low,2024-12-28,false,,,Generated suspicious pattern for transaction 245
48,57,Amount Pattern,Suspicious pattern detected for Amount Pattern,Medium,2024-12-28,true,2024-11-05,Fraud Team,Generated suspicious pattern for transaction 57
49,43,Geographic Anomaly,Suspicious pattern detected for Geographic Anomaly,Low,2024-11-25,false,,,Generated suspicious pattern for transaction 43
50,104,Cross-border,Suspicious pattern detected for Cross-border,Medium,2024-12-05,true,2024-11-10,Fraud Team,Generated suspicious pattern for transaction 104
51,132,New Device,Suspicious pattern detected for New Device,Low,2024-11-22,false,,,Generated suspicious pattern for transaction 132
52,96,Geographic Anomaly,Suspicious pattern detected for Geographic Anomaly,High,2024-10-11,true,2024-10-16,Fraud Team,Generated suspicious pattern for transaction 96
53,202,New Device,Suspicious pattern detected for New Device,High,2024-10-12,false,,,Generated suspicious pattern for transaction 202
54,201,Large Transaction,Suspicious pattern detected for Large Transaction,Medium,2024-11-09,false,,,Generated suspicious pattern for transaction 201
55,220,Off-hours Activity,Suspicious pattern detected for Off-hours Activity,Low,2024-12-05,true,2024-12-02,Fraud Team,Generated suspicious pattern for transaction 220
56,13,Amount Pattern,Suspicious pattern detected for Amount Pattern,Low,2024-10-01,true,2024-12-06,Fraud Team,Generated suspicious pattern for transaction 13
57,78,Geographic Anomaly,Suspicious pattern detected for Geographic Anomaly,High,2024-10-21,false,,,Generated suspicious pattern for transaction 78
58,229,Amount Pattern,Suspicious pattern detected for Amount Pattern,High,2024-12-12,true,2024-12-18,Fraud Team,Generated suspicious pattern for transaction 229
59,165,Off-hours Activity,Suspicious pattern detected for Off-hours Activity,Medium,2024-12-08,true,2024-11-14,Fraud Team,Generated suspicious pattern for transaction 165
60,106,Geographic Anomaly,Suspicious pattern detected for Geographic Anomaly,Low,2024-11-22,true,2024-11-27,Fraud Team,Generated suspicious pattern for transaction 106
61,237,Amount Pattern,Suspicious pattern detected for Amount Pattern,High,2024-10-14,true,2024-12-19,Fraud Team,Generated suspicious pattern for transaction 237
