history_id,transaction_id,previous_balance,new_balance,transaction_date,transaction_time,is_fraud,fraud_check_level,processed_by,review_status,review_date,reviewer_comments
11,11,1029.46,1016.34,2024-12-16,17:10:36,true,High,System,Flagged,2024-11-04,Generated comment for transaction 11
12,12,1020.80,1008.54,2024-12-28,04:14:14,false,Enhanced,AI Model,Flagged,2024-11-16,Generated comment for transaction 12
13,13,1012.14,1000.75,2024-11-21,08:18:51,false,High,AI Model,Flagged,2024-11-28,Generated comment for transaction 13
14,14,1003.48,992.95,2024-12-05,11:22:29,false,Enhanced,System,Flagged,2024-10-20,Generated comment for transaction 14
15,15,1027.59,1014.65,2024-12-17,22:27:06,false,High,AI Model,Under Review,2024-11-05,Generated comment for transaction 15
16,16,1018.93,1006.86,2024-12-01,01:31:44,false,High,System,Flagged,2024-11-17,Generated comment for transaction 16
17,17,1010.26,999.06,2024-11-14,05:43:21,true,High,AI Model,Flagged,2024-11-01,Generated comment for transaction 17
18,18,1001.60,991.26,2024-11-26,08:47:59,true,High,AI Model,Under Review,2024-10-14,Generated comment for transaction 18
19,19,1025.71,1012.96,2024-12-10,19:52:36,false,High,System,Approved,,
20,20,1000.21,990.01,2024-12-24,08:45:08,false,High,AI Model,Flagged,2024-10-11,Generated comment for transaction 20
21,21,1024.32,1011.71,2024-12-08,19:50:46,false,Enhanced,System,Approved,,
22,22,1031.59,1021.53,2024-12-22,08:35:18,false,High,AI Model,Under Review,2024-10-09,Generated comment for transaction 22
23,23,1022.93,1010.46,2024-12-06,19:48:47,false,High,System,Approved,,
24,24,1030.20,1017.00,2024-12-20,08:33:19,false,High,AI Model,Flagged,2024-11-07,Generated comment for transaction 24
25,25,1021.54,1009.21,2024-12-04,19:37:56,false,Enhanced,System,Flagged,2024-11-19,Generated comment for transaction 25
26,26,1012.87,1001.41,2024-12-16,22:50:34,false,High,AI Model,Under Review,2024-11-04,Generated comment for transaction 26
27,27,1004.21,993.61,2024-11-28,02:54:11,true,High,AI Model,Under Review,2024-10-16,Generated comment for transaction 27
28,28,1028.32,1015.31,2024-12-13,05:58:49,false,High,System,Flagged,2024-10-28,Generated comment for transaction 28
29,29,1019.66,1007.52,2024-12-05,16:02:27,false,High,AI Model,Approved,,
30,30,1026.93,1014.06,2024-12-11,13:56:58,false,Enhanced,System,Under Review,2024-11-26,Generated comment for transaction 30
31,31,1018.27,1006.27,2024-12-23,16:00:36,false,High,AI Model,Approved,,
32,32,1025.54,1012.81,2024-12-08,13:46:08,false,High,System,Approved,,
33,33,1000.04,989.86,2024-12-22,02:40:39,false,High,AI Model,Flagged,2024-11-10,Generated comment for transaction 33
34,34,1024.15,1011.56,2024-12-06,13:44:17,false,Enhanced,System,Approved,,
35,35,1031.41,1021.37,2024-12-12,02:38:49,false,Enhanced,AI Model,Flagged,2024-11-28,Generated comment for transaction 35
36,36,1022.75,1010.30,2024-12-04,13:42:26,false,High,System,Under Review,2024-11-20,Generated comment for transaction 36
37,37,1014.09,1002.50,2024-12-16,17:46:04,true,High,AI Model,Flagged,2024-11-04,Generated comment for transaction 37
38,38,1005.43,994.71,2024-11-01,20:50:33,false,High,AI Model,Under Review,2024-10-16,Generated comment for transaction 38
39,39,1029.54,1016.41,2024-12-13,23:03:11,false,High,System,Flagged,2024-10-01,Generated comment for transaction 39
40,40,1020.88,1008.61,2024-12-25,10:07:48,false,High,AI Model,Approved,,
41,41,1012.22,1000.82,2024-11-10,13:11:26,false,Enhanced,System,Under Review,2024-11-25,Generated comment for transaction 41
42,42,1003.56,993.03,2024-11-02,17:15:04,false,High,System,Flagged,2024-10-09,Generated comment for transaction 42
43,43,1027.66,1014.72,2024-11-14,04:20:41,false,Enhanced,AI Model,Flagged,2024-10-02,Generated comment for transaction 43
44,44,1019.00,1006.92,2024-12-26,07:24:19,true,High,System,Approved,,
45,45,1026.27,1013.47,2024-12-12,04:18:50,true,High,AI Model,Approved,,
46,46,1000.77,990.52,2024-12-18,17:11:22,false,Enhanced,System,Under Review,2024-10-05,Generated comment for transaction 46
47,47,1024.88,1012.21,2024-12-02,04:15:00,false,High,AI Model,Approved,,
48,48,1032.15,1022.03,2024-12-15,17:01:31,false,High,System,Flagged,2024-10-03,Generated comment for transaction 48
49,49,1023.49,1010.96,2024-12-28,04:13:09,false,Enhanced,AI Model,Approved,,
50,50,1030.76,1017.51,2024-12-13,17:59:41,false,Enhanced,System,Flagged,2024-11-01,Generated comment for transaction 50
51,51,1022.10,1009.71,2024-12-26,04:03:18,false,High,AI Model,Approved,,
52,52,1029.37,1016.26,2024-12-11,17:57:50,false,High,System,Under Review,2024-11-27,Generated comment for transaction 52
53,53,1020.70,1008.45,2024-12-24,04:01:28,false,High,AI Model,Flagged,2024-11-11,Generated comment for transaction 53
54,54,1012.04,1000.66,2024-11-08,08:05:57,false,High,System,Under Review,2024-11-23,Generated comment for transaction 54
55,55,1003.38,992.86,2024-11-20,11:18:35,false,High,System,Flagged,2024-10-08,Generated comment for transaction 55
56,56,1027.49,1014.56,2024-12-04,22:22:12,false,High,AI Model,Flagged,2024-11-20,Generated comment for transaction 56
57,57,1018.83,1006.77,2024-11-23,07:37:56,false,High,System,Flagged,2024-10-11,Generated comment for transaction 57
58,58,1027.01,1014.13,2024-11-07,19:49:33,false,Standard,System,Flagged,2024-10-23,Generated comment for transaction 58
59,59,1018.35,1006.34,2024-12-20,22:53:11,false,Enhanced,AI Model,Approved,,
